09a18c lda $7ef3cc   [7ef3cc] A:0100 X:0010 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZC V: 38 H:174 F: 8
09a190 dec                    A:0110 X:0010 Y:0000 S:01f2 D:0000 DB:09 nvMXdizC V: 38 H:184 F: 8
09a191 asl a                  A:010f X:0010 Y:0000 S:01f2 D:0000 DB:09 nvMXdizC V: 38 H:187 F: 8
09a192 tax                    A:011e X:0010 Y:0000 S:01f2 D:0000 DB:09 nvMXdizc V: 38 H:191 F: 8
09a193 jmp ($9f99,x) [099fb7] A:011e X:001e Y:0000 S:01f2 D:0000 DB:09 nvMXdizc V: 38 H:194 F: 8
09f30a inx                    A:011e X:001e Y:0000 S:01f2 D:0000 DB:09 nvMXdizc V: 38 H:206 F: 8
09f30b inx                    A:011e X:001f Y:0000 S:01f2 D:0000 DB:09 nvMXdizc V: 38 H:209 F: 8
09f30c cpx #$40               A:011e X:0020 Y:0000 S:01f2 D:0000 DB:09 nvMXdizc V: 38 H:213 F: 8
09f30e bne $f2db     [09f2db] A:011e X:0020 Y:0000 S:01f2 D:0000 DB:09 NvMXdizc V: 38 H:217 F: 8
09f2db lda $7ec300,x [7ec320] A:011e X:0020 Y:0000 S:01f2 D:0000 DB:09 NvMXdizc V: 38 H:222 F: 8
09f2df sta $7fdd80,x [7fdda0] A:0100 X:0020 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZc V: 38 H:232 F: 8
09f2e3 lda $7ec340,x [7ec360] A:0100 X:0020 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZc V: 38 H:242 F: 8
09f2e7 sta $7fddc0,x [7fdde0] A:0100 X:0020 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZc V: 38 H:252 F: 8
09f2eb lda $7ec380,x [7ec3a0] A:0100 X:0020 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZc V: 38 H:262 F: 8
09f2ef sta $7fde00,x [7fde20] A:0100 X:0020 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZc V: 38 H:272 F: 8
09f2f3 lda $7ec3c0,x [7ec3e0] A:0100 X:0020 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZc V: 38 H:282 F: 8
09f2f7 sta $7fde40,x [7fde60] A:0100 X:0020 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZc V: 38 H:292 F: 8
09f2fb lda #$00               A:0100 X:0020 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZc V: 38 H:302 F: 8
09f2fd brk #$9f               A:0100 X:0020 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZc V: 38 H:306 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01ee D:0000 DB:09 nvMXdIZc V: 38 H:322 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01ee D:0000 DB:09 nvMXdIZc V: 38 H:329 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01ee D:0000 DB:09 nvMXdIZc V: 38 H:334 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01ea D:0000 DB:09 nvMXdIZc V: 39 H: 10 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01ea D:0000 DB:09 nvMXdIZc V: 39 H: 18 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01ea D:0000 DB:09 nvMXdIZc V: 39 H: 23 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01e6 D:0000 DB:09 nvMXdIZc V: 39 H: 39 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01e6 D:0000 DB:09 nvMXdIZc V: 39 H: 47 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01e6 D:0000 DB:09 nvMXdIZc V: 39 H: 52 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01e2 D:0000 DB:09 nvMXdIZc V: 39 H: 68 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01e2 D:0000 DB:09 nvMXdIZc V: 39 H: 76 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01e2 D:0000 DB:09 nvMXdIZc V: 39 H: 81 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01de D:0000 DB:09 nvMXdIZc V: 39 H: 97 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01de D:0000 DB:09 nvMXdIZc V: 39 H:105 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01de D:0000 DB:09 nvMXdIZc V: 39 H:110 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01da D:0000 DB:09 nvMXdIZc V: 39 H:126 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01da D:0000 DB:09 nvMXdIZc V: 39 H:144 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01da D:0000 DB:09 nvMXdIZc V: 39 H:149 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01d6 D:0000 DB:09 nvMXdIZc V: 39 H:165 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01d6 D:0000 DB:09 nvMXdIZc V: 39 H:173 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01d6 D:0000 DB:09 nvMXdIZc V: 39 H:178 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01d2 D:0000 DB:09 nvMXdIZc V: 39 H:194 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01d2 D:0000 DB:09 nvMXdIZc V: 39 H:202 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01d2 D:0000 DB:09 nvMXdIZc V: 39 H:207 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01ce D:0000 DB:09 nvMXdIZc V: 39 H:223 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01ce D:0000 DB:09 nvMXdIZc V: 39 H:231 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01ce D:0000 DB:09 nvMXdIZc V: 39 H:236 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01ca D:0000 DB:09 nvMXdIZc V: 39 H:252 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01ca D:0000 DB:09 nvMXdIZc V: 39 H:260 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01ca D:0000 DB:09 nvMXdIZc V: 39 H:265 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01c6 D:0000 DB:09 nvMXdIZc V: 39 H:281 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01c6 D:0000 DB:09 nvMXdIZc V: 39 H:289 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01c6 D:0000 DB:09 nvMXdIZc V: 39 H:294 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01c2 D:0000 DB:09 nvMXdIZc V: 39 H:310 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01c2 D:0000 DB:09 nvMXdIZc V: 39 H:318 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01c2 D:0000 DB:09 nvMXdIZc V: 39 H:323 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01be D:0000 DB:09 nvMXdIZc V: 39 H:338 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01be D:0000 DB:09 nvMXdIZc V: 40 H:  6 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01be D:0000 DB:09 nvMXdIZc V: 40 H: 11 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01ba D:0000 DB:09 nvMXdIZc V: 40 H: 27 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01ba D:0000 DB:09 nvMXdIZc V: 40 H: 35 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01ba D:0000 DB:09 nvMXdIZc V: 40 H: 40 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01b6 D:0000 DB:09 nvMXdIZc V: 40 H: 56 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01b6 D:0000 DB:09 nvMXdIZc V: 40 H: 64 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01b6 D:0000 DB:09 nvMXdIZc V: 40 H: 69 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01b2 D:0000 DB:09 nvMXdIZc V: 40 H: 85 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01b2 D:0000 DB:09 nvMXdIZc V: 40 H: 93 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01b2 D:0000 DB:09 nvMXdIZc V: 40 H: 98 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01ae D:0000 DB:09 nvMXdIZc V: 40 H:114 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01ae D:0000 DB:09 nvMXdIZc V: 40 H:122 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01ae D:0000 DB:09 nvMXdIZc V: 40 H:127 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01aa D:0000 DB:09 nvMXdIZc V: 40 H:153 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01aa D:0000 DB:09 nvMXdIZc V: 40 H:161 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01aa D:0000 DB:09 nvMXdIZc V: 40 H:166 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01a6 D:0000 DB:09 nvMXdIZc V: 40 H:182 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01a6 D:0000 DB:09 nvMXdIZc V: 40 H:190 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01a6 D:0000 DB:09 nvMXdIZc V: 40 H:195 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01a2 D:0000 DB:09 nvMXdIZc V: 40 H:211 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01a2 D:0000 DB:09 nvMXdIZc V: 40 H:219 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01a2 D:0000 DB:09 nvMXdIZc V: 40 H:224 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:019e D:0000 DB:09 nvMXdIZc V: 40 H:240 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:019e D:0000 DB:09 nvMXdIZc V: 40 H:248 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:019e D:0000 DB:09 nvMXdIZc V: 40 H:253 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:019a D:0000 DB:09 nvMXdIZc V: 40 H:269 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:019a D:0000 DB:09 nvMXdIZc V: 40 H:277 F: 8
